"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
379,1271.95,-147.92,416.91,1974.5,2642.81,3.79e+08,4.221e+09
379.5,1265.19,-118.7,438,2009.22,2732.36,379500000,4220500000
380,1269.38,-105.89,458.45,2038.47,2763.62,3.8e+08,4.22e+09
380.5,1223.35,-111.27,458.49,2040.5,2838.46,380500000,4219500000
381,1104.42,-96.88,460.1,2050.99,2879.35,3.81e+08,4.219e+09
381.5,1062.01,-101.76,500.53,2065.44,2918.55,381500000,4218500000
382,1053.5,-95.18,505.41,2084.85,2905.07,3.82e+08,4.218e+09
382.5,1108.37,-100.73,515.67,2086.32,2885.12,382500000,4217500000
383,1136.65,-103.1,514.8,2071.81,2853.16,3.83e+08,4.217e+09
383.5,1190.14,-102.7,522.61,2080.32,2886.66,383500000,4216500000
384,1220.28,-109.62,507.51,2066.9,2884.36,3.84e+08,4.216e+09
384.5,1371.16,-96.98,506.89,2028.46,2843.67,384500000,4215500000
385,1407.4,-76.66,482.79,1980.85,2752.74,3.85e+08,4.215e+09
385.5,1332.1,-79.16,493.1,1960.16,2712.24,385500000,4214500000
386,1264.56,-89.23,488.68,1925.04,2643.53,3.86e+08,4.214e+09
386.5,1222.17,-53.94,484.93,1899.48,2676.48,386500000,4213500000
387,1176.16,-68.98,468.76,1891.14,2684.7,3.87e+08,4.213e+09
387.5,1139.51,-58.34,467.81,1886.61,2650.95,387500000,4212500000
388,1064.6,-37.28,483.55,1846.25,2667.93,3.88e+08,4.212e+09
388.5,979.58,-13.23,493.61,1802.47,2617.08,388500000,4211500000
389,1017.44,37.76,499.78,1776.63,2647.81,3.89e+08,4.211e+09
389.5,1082.25,71.77,528.37,1791.77,2662.61,389500000,4210500000
390,1128.63,82.34,524.12,1785.69,2694.9,3.9e+08,4.21e+09
390.5,1093.36,69.72,524.35,1811.93,2709.1,390500000,4209500000
391,1000,93.71,531.79,1863.93,2751.7,3.91e+08,4.209e+09
391.5,972.17,125.09,542.26,1870.65,2800.89,391500000,4208500000
392,985.51,119.31,576.27,1912.3,2749.52,3.92e+08,4.208e+09
392.5,1010.92,120.3,608.08,1975.85,2737.4,392500000,4207500000
393,1046.21,108.16,627.56,2033.79,2785.42,3.93e+08,4.207e+09
393.5,1077.35,107.67,644.31,2090.51,2777.67,393500000,4206500000
394,1113.5,115.94,669.71,2148.92,2762.62,3.94e+08,4.206e+09
394.5,1191.59,133.71,720.43,2181.32,2797.28,394500000,4205500000
395,1296.84,152.96,754.58,2233.98,2850.62,3.95e+08,4.205e+09
395.5,1669.14,124.63,777.23,2304.89,2872.79,395500000,4204500000
396,1709.91,169.97,794.74,2353.64,2913.39,3.96e+08,4.204e+09
396.5,1759.59,163.35,831.87,2405.66,2956.93,396500000,4203500000
397,1788.11,187.11,870.01,2423.01,2972.3,3.97e+08,4.203e+09
397.5,1785.28,226.8,898.11,2454.67,2960.02,397500000,4202500000
398,1809.43,224.74,926.23,2442.11,2981.95,3.98e+08,4.202e+09
398.5,1818.73,251.37,930.09,2475.79,2987.6,398500000,4201500000
399,1826.32,292.64,948.26,2485.68,3006.78,3.99e+08,4.201e+09
399.5,1775.45,284.64,975.44,2513.27,3006.76,399500000,4200500000
400,1731,315.48,973.77,2504.59,3034.89,4e+08,4.2e+09
400.5,1786.44,340.68,1017.58,2507.13,3017.13,400500000,4199500000
401,1828.25,340.64,1031.63,2527.59,3033.37,4.01e+08,4.199e+09
401.5,1841.36,375.55,1028.96,2517.94,3057.89,401500000,4198500000
402,1845.38,380.09,1015.75,2507.18,3060.64,4.02e+08,4.198e+09
402.5,1848.32,426.23,1013.82,2536.05,3116.52,402500000,4197500000
403,1830.65,398.42,1024.85,2565.12,3170.8,4.03e+08,4.197e+09
403.5,1833.66,393.78,1054.64,2590.52,3178.8,403500000,4196500000
404,1848.39,455.76,1077.61,2573.14,3176.02,4.04e+08,4.196e+09
404.5,1685.23,522.1,1129.17,2615.62,3158.95,404500000,4195500000
405,1689.11,591.69,1153.56,2597.87,3154.75,4.05e+08,4.195e+09
405.5,1726.08,659.51,1204.98,2603.16,3158.91,405500000,4194500000
406,1793.02,698.7,1251.82,2628.39,3206.52,4.06e+08,4.194e+09
406.5,1985.84,772.74,1269.97,2652.6,3217.09,406500000,4193500000
407,2017.43,830.61,1282.32,2648.73,3155.23,4.07e+08,4.193e+09
407.5,2021.18,874.82,1333.58,2632.15,3116.78,407500000,4192500000
408,2034.54,910.34,1402.74,2606.98,3062.64,4.08e+08,4.192e+09
408.5,1957.23,937.05,1423.01,2607.24,3034.98,408500000,4191500000
409,2159.74,949.54,1435.33,2635.07,3026.94,4.09e+08,4.191e+09
409.5,2165.27,906.06,1434.32,2658.95,3111.18,409500000,4190500000
410,2102.11,904.12,1422.1,2679.17,3202.53,4.1e+08,4.19e+09
410.5,2059.99,869.69,1405.22,2679.03,3266.02,410500000,4189500000
411,2048.24,866.13,1395.62,2683.78,3321.02,4.11e+08,4.189e+09
411.5,2039.91,799.97,1382.35,2680.14,3373.91,411500000,4188500000
412,2055.68,736.69,1347.43,2714.4,3390.2,4.12e+08,4.188e+09
412.5,2061.56,714.45,1290.05,2741.36,3410.98,412500000,4187500000
413,2011.83,675.11,1261.38,2753.48,3453.64,4.13e+08,4.187e+09
413.5,1925.58,644.39,1233.15,2739.66,3399.23,413500000,4186500000
414,1739.57,578.55,1195.58,2729.6,3405.42,4.14e+08,4.186e+09
414.5,1649.22,467.79,1147.05,2703.66,3377.68,414500000,4185500000
415,1579.21,382.82,1093.86,2692.13,3367.12,4.15e+08,4.185e+09
415.5,1528.61,341.35,1048.65,2680.32,3347.73,415500000,4184500000
416,1547.21,266.78,1007.68,2655.23,3380.54,4.16e+08,4.184e+09
416.5,1568.45,198.07,941.83,2634.47,3426.73,416500000,4183500000
417,1504.45,92.75,874.31,2606.64,3458.21,4.17e+08,4.183e+09
417.5,1435.26,32.83,806.25,2583.53,3451.47,417500000,4182500000
418,1387.93,-121.53,708.83,2565.37,3473.85,4.18e+08,4.182e+09
418.5,1354.84,-267.53,578.67,2554.53,3535.61,418500000,4181500000
419,1414,-452.6,471.52,2587.45,3588.86,4.19e+08,4.181e+09
419.5,1443.91,-628.6,351.71,2576.42,3636.69,419500000,4180500000
