"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
84,623.45,223.49,465.19,1050.45,1360.85,8.4e+07,4.516e+09
84.5,614.81,213.57,460.89,1044.89,1338.61,84500000,4515500000
85,619.42,196.1,441.81,1032.74,1344.99,8.5e+07,4.515e+09
85.5,629.72,199.56,435.96,1015.83,1361.26,85500000,4514500000
86,611.63,202.85,420.39,991.87,1346.3,8.6e+07,4.514e+09
86.5,601.04,198.88,419.45,951.28,1309.67,86500000,4513500000
87,574.15,198.18,398.41,915.43,1290.36,8.7e+07,4.513e+09
87.5,574.37,194.65,371.08,884.78,1256.57,87500000,4512500000
88,558.55,145.34,353.95,867.6,1273.62,8.8e+07,4.512e+09
88.5,498.7,115.81,338.79,854.83,1268.5,88500000,4511500000
89,477.51,103.72,321.41,834.04,1234.29,8.9e+07,4.511e+09
89.5,455.56,112.88,318.49,801.5,1179.88,89500000,4510500000
90,450.16,136.28,316.92,777.23,1119.39,9e+07,4.51e+09
90.5,473.13,160.58,316.55,757.33,1044.34,90500000,4509500000
91,481.15,177.34,319.32,728.16,977.08,9.1e+07,4.509e+09
91.5,479.48,188.33,325.36,712.75,947.91,91500000,4508500000
92,462.19,201.49,337.57,699.79,921.67,9.2e+07,4.508e+09
92.5,467.86,218.5,358.72,696.25,893.14,92500000,4507500000
93,496.03,253.21,388.63,700.77,862.37,9.3e+07,4.507e+09
93.5,522.13,293.08,410.85,714.74,868.69,93500000,4506500000
94,535.3,312.53,427.26,734.36,879.68,9.4e+07,4.506e+09
94.5,568.52,329.03,439.67,757.84,926.34,94500000,4505500000
95,596.8,327.61,447.84,793.12,964.61,9.5e+07,4.505e+09
95.5,609.86,339.95,464.44,814.94,1014.81,95500000,4504500000
96,622.05,356.71,487.55,851.76,1068.84,9.6e+07,4.504e+09
96.5,650.13,371.62,510.91,892.86,1127.38,96500000,4503500000
97,691.83,379.83,536.02,936.5,1201.3,9.7e+07,4.503e+09
97.5,730.74,387.25,557.53,986.86,1246.52,97500000,4502500000
98,777.35,390.98,578.98,1022.17,1305.92,9.8e+07,4.502e+09
98.5,814.98,405.88,603.91,1055.18,1322.65,98500000,4501500000
99,805.8,453.26,634.12,1077.17,1332.98,9.9e+07,4.501e+09
99.5,833.61,492.1,670.85,1105.62,1342.03,99500000,4500500000
100,862.05,529.03,709.93,1129.71,1351.09,1e+08,4.5e+09
100.5,898.53,566.59,738.74,1161.08,1364.69,100500000,4499500000
101,945.01,589.27,767.71,1191.29,1371.41,1.01e+08,4.499e+09
101.5,965.86,625.55,790.22,1210.7,1409.24,101500000,4498500000
102,986.66,652.85,813.97,1223.24,1402.44,1.02e+08,4.498e+09
102.5,1006.27,682.31,827.02,1235.87,1403.14,102500000,4497500000
103,1013.91,700.81,846.51,1243.6,1399.68,1.03e+08,4.497e+09
103.5,1012.72,689.34,855.85,1258.65,1420.69,103500000,4496500000
104,1027.05,679.81,855.2,1276.3,1441.05,1.04e+08,4.496e+09
104.5,1040.37,680.47,854.22,1299.18,1477.69,104500000,4495500000
105,1046.47,681.97,859.72,1308,1494.91,1.05e+08,4.495e+09
105.5,1019.65,693.11,866.63,1320.53,1516.04,105500000,4494500000
106,1037.44,693.12,871.42,1333.14,1530.78,1.06e+08,4.494e+09
106.5,1033.25,682.51,870.08,1351.13,1562.19,106500000,4493500000
107,1028.16,672.54,868.72,1368.17,1590.83,1.07e+08,4.493e+09
107.5,1039.07,661.49,857.7,1388.69,1626.42,107500000,4492500000
108,1040.79,668.04,858.63,1402.34,1646.39,1.08e+08,4.492e+09
108.5,1055.28,663.72,868.79,1410.59,1650.65,108500000,4491500000
109,1058.74,681.73,872.85,1413.16,1646.9,1.09e+08,4.491e+09
109.5,1069.77,697.54,880.48,1404.02,1636.46,109500000,4490500000
