"yearsBP","annual65N","annualGlobal","globalCosWeighted","Title","Source","yearsElapsed"
779800,211.99,291.7,340.943,"","",4599220200
779700,211.89,291.68,340.939,"","",4599220300
779600,211.8,291.66,340.935,"","",4599220400
779500,211.7,291.64,340.931,"","",4599220500
779400,211.61,291.62,340.927,"","",4599220600
779300,211.51,291.6,340.923,"","",4599220700
779200,211.42,291.58,340.918,"","",4599220800
779100,211.32,291.56,340.914,"","",4599220900
779000,211.23,291.54,340.91,"","",4599221000
778900,211.13,291.52,340.906,"","",4599221100
778800,211.08,291.51,340.904,"","",4599221200
778700,211.03,291.49,340.902,"","",4599221300
778600,210.98,291.47,340.899,"","",4599221400
778500,210.93,291.45,340.897,"","",4599221500
778400,210.88,291.43,340.895,"","",4599221600
778300,210.83,291.41,340.893,"","",4599221700
778200,210.78,291.4,340.89,"","",4599221800
778100,210.73,291.38,340.888,"","",4599221900
778000,210.68,291.36,340.886,"","",4599222000
777900,210.63,291.34,340.884,"","",4599222100
777800,210.63,291.32,340.882,"","",4599222200
777700,210.64,291.31,340.88,"","",4599222300
777600,210.64,291.29,340.878,"","",4599222400
777500,210.65,291.27,340.877,"","",4599222500
777400,210.65,291.25,340.875,"","",4599222600
777300,210.65,291.23,340.873,"","",4599222700
777200,210.66,291.21,340.871,"","",4599222800
777100,210.66,291.19,340.87,"","",4599222900
777000,210.67,291.18,340.868,"","",4599223000
776900,210.67,291.16,340.866,"","",4599223100
776800,210.73,291.14,340.864,"","",4599223200
776700,210.79,291.12,340.862,"","",4599223300
776600,210.85,291.1,340.86,"","",4599223400
776500,210.91,291.08,340.859,"","",4599223500
776400,210.97,291.07,340.857,"","",4599223600
776300,211.03,291.05,340.855,"","",4599223700
776200,211.09,291.03,340.853,"","",4599223800
776100,211.15,291.01,340.851,"","",4599223900
776000,211.22,290.99,340.849,"","",4599224000
775900,211.28,290.97,340.848,"","",4599224100
775800,211.37,290.95,340.846,"","",4599224200
775700,211.47,290.94,340.844,"","",4599224300
775600,211.57,290.92,340.842,"","",4599224400
775500,211.67,290.9,340.841,"","",4599224500
775400,211.77,290.88,340.839,"","",4599224600
