"years_before_present","CO2_ppm","yearsElapsed"
487609,237.1,4599512391
486884,231.3,4599513116
486111,232.9,4599513889
485344,233,4599514656
484533,231.2,4599515467
483717,231.4,4599516283
482871,231.4,4599517129
482000,227.3,4599518000
481103,223.4,4599518897
480176,223.8,4599519824
479212,218.8,4599520788
478789,220.8,4599521211
478192,231.3,4599521808
477787,236.5,4599522213
477230,239.1,4599522770
476308,236.6,4599523692
475286,232.8,4599524714
474230,233.1,4599525770
473170,241.2,4599526830
472163,245.6,4599527837
471831,243.9,4599528169
471114,243.7,4599528886
470665,232.7,4599529335
470009,229.2,4599529991
469538,218.7,4599530462
468878,215.5,4599531122
468391,206.5,4599531609
467670,205.5,4599532330
466333,203.4,4599533667
464934,204.4,4599535066
463524,208.1,4599536476
462201,210,4599537799
461755,205.2,4599538245
460860,199.9,4599539140
459498,194.4,4599540502
458117,190.7,4599541883
456659,195.5,4599543341
455347,202.4,4599544653
454091,208.3,4599545909
453582,203.3,4599546418
452863,204.3,4599547137
452351,199.1,4599547649
451661,192.5,4599548339
450523,193.3,4599549477
449312,198.4,4599550688
448171,201.9,4599551829
447052,204.9,4599552948
445897,201.2,4599554103
444718,201.7,4599555282
443630,208.1,4599556370
442479,203.5,4599557521
441288,201.1,4599558712
439633,199.1,4599560367
438424,202,4599561576
437220,201.3,4599562780
436057,201.7,4599563943
434872,200.3,4599565128
433742,207.5,4599566258
432667,209.8,4599567333
431513,207.6,4599568487
431131,211.5,4599568869
429944,227.2,4599570056
429074,219.7,4599570926
427634,242.5,4599572366
427353,248.2,4599572647
426666,252.1,4599573334
426043,255.3,4599573957
425637,265.4,4599574363
425310,270,4599574690
424908,270.8,4599575092
424400,268.3,4599575600
423832,267.7,4599576168
422717,270.6,4599577283
422142,266.4,4599577858
421552,268.6,4599578448
420418,273.8,4599579582
419876,271.2,4599580124
419328,273.7,4599580672
418313,274.6,4599581687
417766,271.8,4599582234
417259,273.4,4599582741
416261,271.7,4599583739
415785,276.4,4599584215
415031,271.6,4599584969
414016,264.9,4599585984
413030,274.9,4599586970
411139,283.5,4599588861
410274,282.6,4599589726
409451,275.2,4599590549
408668,284.5,4599591332
407161,285.6,4599592839
406436,279.6,4599593564
404995,280.5,4599595005
404249,276.5,4599595751
402799,275.7,4599597201
402068,283.1,4599597932
400572,283.2,4599599428
399790,277.1,4599600210
398154,276.3,4599601846
394628,260.7,4599605372
393647,273.6,4599606353
392612,259.5,4599607388
391964,266.3,4599608036
390014,250.1,4599609986
388130,255.2,4599611870
386212,259.2,4599613788
385466,264.6,4599614534
384602,258.1,4599615398
382738,245.8,4599617262
381200,246.8,4599618800
379764,239.1,4599620236
378164,240,4599621836
376636,227,4599623364
372714,229.6,4599627286
371158,224.6,4599628842
369514,214.7,4599630486
367924,199.9,4599632076
366303,201.9,4599633697
363453,206.3,4599636547
361025,201.2,4599638975
358780,185.8,4599641220
356966,186.1,4599643034
355370,193,4599644630
352343,209.2,4599647657
350993,209.4,4599649007
349756,216.2,4599650244
348366,221.1,4599651634
346048,220.3,4599653952
344514,211.9,4599655486
343350,204.8,4599656650
341870,205.2,4599658130
340524,200.7,4599659476
339366,250.1,4599660634
337459,234.2,4599662541
336793,239.6,4599663207
335986,241.9,4599664014
335355,255.7,4599664645
334816,270.5,4599665184
334329,278.6,4599665671
333958,285.8,4599666042
333448,278.1,4599666552
332987,298.6,4599667013
332530,288.4,4599667470
332353,289.1,4599667647
332012,282.4,4599667988
331506,273.1,4599668494
330808,272.6,4599669192
330276,271.7,4599669724
329543,265,4599670457
328289,275.1,4599671711
327658,271.9,4599672342
327040,270.1,4599672960
326389,266.1,4599673611
325788,264,4599674212
325039,266.2,4599674961
324348,260.5,4599675652
323594,260.3,4599676406
322835,260.4,4599677165
322083,257.2,4599677917
320426,249.2,4599679574
319548,255.8,4599680452
318627,233.4,4599681373
317802,245.2,4599682198
316965,251.6,4599683035
316268,272.6,4599683732
315640,246.8,4599684360
314935,257.1,4599685065
314212,256.7,4599685788
313482,251.6,4599686518
312744,241.9,4599687256
311936,239,4599688064
311081,237.8,4599688919
310236,233.2,4599689764
309457,226.2,4599690543
308812,227.8,4599691188
307563,225.8,4599692437
306615,244.8,4599693385
305723,248.6,4599694277
304969,250.2,4599695031
304300,240.7,4599695700
303294,240.2,4599696706
302348,236,4599697652
301470,239,4599698530
300540,236.1,4599699460
299689,231,4599700311
298809,224.4,4599701191
297989,217.1,4599702011
295998,213.1,4599704002
294636,212.7,4599705364
293847,206.7,4599706153
293125,206,4599706875
292473,207.6,4599707527
291435,217.1,4599708565
290798,220.4,4599709202
290221,234.9,4599709779
288301,231,4599711699
287606,230.4,4599712394
287104,231.4,4599712896
286196,226.4,4599713804
285448,228,4599714552
283853,231.3,4599716147
281826,223.7,4599718174
280337,215.3,4599719663
279388,211,4599720612
278418,204.5,4599721582
277429,202.2,4599722571
276394,193.2,4599723606
275418,198.4,4599724582
274389,194.1,4599725611
273378,193.9,4599726622
272379,190.4,4599727621
271324,184.7,4599728676
270290,198.8,4599729710
269222,194.2,4599730778
268249,187.2,4599731751
267510,188.7,4599732490
266394,211.7,4599733606
265721,199.9,4599734279
264577,228.1,4599735423
262998,214.6,4599737002
262160,208.9,4599737840
260984,205.7,4599739016
260421,209.6,4599739579
258729,203.9,4599741271
257168,204,4599742832
256377,201.9,4599743623
255566,199,4599744434
253704,195.4,4599746296
252807,196.7,4599747193
251932,195.4,4599748068
251073,213.9,4599748927
250201,200.2,4599749799
247749,214.7,4599752251
245509,219.4,4599754491
244932,230.4,4599755068
244415,236.7,4599755585
243924,249.9,4599756076
243497,252.3,4599756503
243139,263.7,4599756861
242414,280.2,4599757586
242075,279,4599757925
241434,263.2,4599758566
241013,259.7,4599758987
240041,252.8,4599759959
239545,247.4,4599760455
239081,245.8,4599760919
238626,245.6,4599761374
237936,239.1,4599762064
237362,243.1,4599762638
236802,247.4,4599763198
236182,241.4,4599763818
235548,252.1,4599764452
234885,245.2,4599765115
231134,241.6,4599768866
230490,233.9,4599769510
229491,232.4,4599770509
227844,224.5,4599772156
227095,233.1,4599772905
226779,234.5,4599773221
225977,235.5,4599774023
224991,215.7,4599775009
224337,203.3,4599775663
222098,205.6,4599777902
220807,208.8,4599779193
220126,207.1,4599779874
219184,216.1,4599780816
218429,214.1,4599781571
216420,240.5,4599783580
215450,245.3,4599784550
214862,251.1,4599785138
214527,251.7,4599785473
214052,247.5,4599785948
213604,242.6,4599786396
213338,240.3,4599786662
212784,241.4,4599787216
211926,251.2,4599788074
210881,243.4,4599789119
210222,257.4,4599789778
209885,239.5,4599790115
209500,246.9,4599790500
209063,252,4599790937
208871,247.2,4599791129
208322,243.9,4599791678
208132,244.6,4599791868
207612,242.2,4599792388
207188,240.5,4599792812
206878,230,4599793122
206212,237.2,4599793788
206020,238.1,4599793980
205430,231.4,4599794570
204976,229.4,4599795024
204548,226.3,4599795452
203905,228.6,4599796095
203385,232.2,4599796615
202942,231.9,4599797058
202481,244.4,4599797519
201231,247.6,4599798769
199986,239.1,4599800014
