"Volcano","Age_Mya","Location","Volume_km3","Notes","Type","Reference","yearsAgo","yearsElapsed"
"Emory Caldera-Kneeling Nun tuff",33,"Southwestern New Mexico",1310,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",3.3e+07,4.567e+09
"Mount Princeton-Wall Mountain tuff",35.3,"Thirtynine Mile volcanic area, Colorado",1000,"Helped cause the exceptional preservation at Florissant Fossil Beds National Monument","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",35300000,4564700000
"North Atlantic Igneous Province",55.5,"North Atlantic Ocean",6.6,"Linked to the Iceland hotspot.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",55500000,4544500000
"Mahabaleshwar–Rajahmundry Traps (Upper)",64.8,"Deccan Traps, India",9300,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",64800000,4535200000
"Deccan Traps",66,"Deccan Plateau, India",1.5,"May have helped kill the dinosaurs.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",6.6e+07,4.534e+09
"Nohi Rhyolite-Gero Ash-Flow Sheet",70,"Honshu, Japan",2200,"Nohi Rhyolite total volume over 7,000 km3 in 70 to 72 Ma, Gero Ash-Flow Sheet being the largest","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",7e+07,4.53e+09
"Caribbean large igneous province",88,"Caribbean–Colombian oceanic plateau",4,"Linked to the Galapagos hotspot.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",8.8e+07,4.512e+09
"Kerguelen Plateau–Broken Ridge",112,"South Indian Ocean, Kerguelen Islands",17,"Linked to the Kerguelen hotspot. Volume includes Broken Ridge and the Southern and Central Kerguelen Plateau (produced 120-95 Ma), but not the Northern Kerguelen Plateau (produced after 40 Ma).","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.12e+08,4.488e+09
"Ontong Java–Manihiki–Hikurangi Plateau",121,"Southwest Pacific Ocean",65,"Largest igneous body on Earth, later split into three widely separated oceanic plateaus, with a fourth component perhaps now accreted onto South America. Possibly linked to the Louisville hotspot.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.21e+08,4.479e+09
"Santa Maria-Fria",132,"Parana and Etendeka traps",7800,"Existence as a single volcano is controversial. Possibly a volcano chain.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Ourinhos-Khoraseb",132,"Parana and Etendeka traps",3900,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Jacui-Goboboseb II",132,"Parana and Etendeka traps",4350,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Guarapuava-Ventura",132,"Parana and Etendeka traps",7600,"Existence as a single volcano is controversial. Possibly a volcano chain.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Guarapuava-Tamarana-Sarusas",132,"Paran and Etendeka traps",8600,"Existence as a single volcano is controversial. Possibly a volcano chain.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Goboboseb–Messum volcanic centre-Springbok quartz latite unit",132,"Parana and Etendeka traps, Brazil and Namibia",6340,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Caxias do Sul-Grootberg",132,"Parana and Etendeka traps",5650,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Anita Garibaldi-Beacon",132,"Parana and Etendeka traps",3450,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.32e+08,4.468e+09
"Parana and Etendeka traps",133,"Brazil/Angola and Namibia",2.3,"Linked to the Tristan hotspot","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.33e+08,4.467e+09
"Karoo-Ferrar",183,"Mainly Southern Africa and Antarctica. Also South America, India, Australia and New Zealand",2.5,"Formed as Gondwana broke up","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.83e+08,4.417e+09
"Central Atlantic magmatic province",200,"Laurasia continents",2,"Formed as Pangaea broke up","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",2e+08,4.4e+09
"Siberian Traps",249.4,"Siberia, Russia",3,"A large outpouring of lava on land, believed to have caused the Permian-Triassic extinction event, the largest mass extinction ever.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",249400000,4350600000
"Emeishan Traps",256.5,"Southwestern China",1,"Along with Siberian Traps, may have contributed to the Permian-Triassic extinction event.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",256500000,4343500000
"Millbrig eruptions-Bentonites",454,"England, exposed in Northern Europe and Eastern US",1509,"One of the oldest large eruptions preserved","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",4.54e+08,4.146e+09
"Flat Landing Brook Eruption",466,"Flat Landing Brook Formation",2000,"One of the largest and oldest supereruption. Existence as a single eruption is controversial. Possibly a multiple 2,000 under a million years.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",4.66e+08,4.134e+09
"Coppermine River Group",1267,"Mackenzie Large Igneous Province/Canadian Shield",0.65,"Consists of at least 150 individual flows.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.267e+09,3.333e+09
"Moonaree Dacite",1591,"Gawler Range Volcanics, Australia",2050,"One of the oldest large eruptions preserved","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.591e+09,3.009e+09
