"X","monarchTitle","eventDescription","reignStartYear","reignStartMonth","reignStartDay","reignEndYear","reignEndMonth","reignEndDay","country","house","birthYear","birthMonth","birthDay","deathYear","deathMonth","deathDay","reference","era","houseColours","start_ymd","end_ymd","startElapsedYears","endElapsedYears"
41,"Henry VII","",1485,8,22,1509,4,21,"England","Tudor",1457,1,28,1509,4,21,"https://en.wikipedia.org/wiki/Henry_VII_of_England","CE","black",1485.63835616438,1509.30136986301,4599999465.63836,4599999489.30137
42,"Henry VIII","",1509,4,22,1547,1,28,"England","Tudor",1491,6,28,1547,1,28,"https://en.wikipedia.org/wiki/Henry_VIII_of_England","CE","black",1509.30410958904,1547.07397260274,4599999489.30411,4599999527.07397
43,"Edward VI","",1547,1,28,1553,7,6,"England","Tudor",1537,10,12,1553,7,6,"https://en.wikipedia.org/wiki/Edward_VI_of_England","CE","black",1547.07397260274,1553.5095890411,4599999527.07397,4599999533.50959
44,"Jane","Title disputed",1553,7,10,1553,7,19,"England","Tudor",1537,10,NA,1554,2,12,"https://en.wikipedia.org/wiki/Lady_Jane_Grey","CE","black",1553.52054794521,1553.54520547945,4599999533.52055,4599999533.54521
45,"Mary I","Bloody Mary",1553,7,19,1558,11,17,"England","Tudor",1516,2,18,1558,11,17,"https://en.wikipedia.org/wiki/Mary_I_of_England","CE","black",1553.54520547945,1558.87671232877,4599999533.54521,4599999538.87671
46,"Elizabeth I","",1558,11,17,1603,3,24,"England","Tudor",1533,9,7,1603,3,24,"https://en.wikipedia.org/wiki/Elizabeth_I_of_England","CE","black",1558.87671232877,1603.22465753425,4599999538.87671,4599999583.22466
47,"James I","",1603,3,24,1625,3,27,"England and Scotland","Stuart",1566,6,19,1625,2,27,"https://en.wikipedia.org/wiki/James_VI_and_I","CE","beige",1603.22465753425,1625.23287671233,4599999583.22466,4599999605.23288
48,"Charles I","",1625,3,27,1649,1,30,"England and Scotland","Stuart",1600,11,19,1649,1,30,"https://en.wikipedia.org/wiki/Charles_I_of_England","CE","beige",1625.23287671233,1649.07945205479,4599999605.23288,4599999629.07945
49,"Oliver Cromwell","Lord Protector",1653,12,16,1658,9,3,"England and Scotland","Interregnum",1599,4,25,1658,9,3,"https://en.wikipedia.org/wiki/Oliver_Cromwell","CE","white",1653.95616438356,1658.67123287671,4599999633.95616,4599999638.67123
50,"Richard Cromwell","Lord Protector. Tumbledown Dick.",1658,9,3,1659,5,7,"England and Scotland","Interregnum",1626,10,4,1712,7,12,"https://en.wikipedia.org/wiki/Richard_Cromwell","CE","white",1658.67123287671,1659.34520547945,4599999638.67123,4599999639.34521
51,"Charles II","",1660,5,29,1685,2,6,"England and Scotland","Stuart",1630,5,29,1685,2,6,"https://en.wikipedia.org/wiki/Charles_II_of_England","CE","beige",1660.40710382514,1685.09863013699,4599999640.4071,4599999665.09863
