Structure.Name,Age_Ma,Original_column,Diameter_km,Location,Reference,yearsElapsed
Chiyli,46,46 ± 7,5.5,Kazakhstan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.55E+09
Ragozinka,46,46 ± 3,9,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.55E+09
Gusev,49,49.0 ± 0.2,3,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.55E+09
Kamensk,49,49.0 ± 0.2,25,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.55E+09
Goat Paddock,50,< 50,5.1,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.55E+09
Montagnais,50.5,50.50 ± 0.76,45,"Nova Scotia, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4549500000
Jebel Waqf as Suwwan,56,56 - 37,5.5,Jordan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.54E+09
Marquez,58,58 ± 2,12.7,"Texas, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.54E+09
Connolly Basin,60,< 60,9,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.54E+09
Chicxulub,64.98,64.98 ± 0.05,150,"Yucatan, Mexico",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4535020000
Eagle Butte,65,< 65,10,"Alberta, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.54E+09
Vista Alegre,65,< 65,9.5,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.54E+09
Boltysh,65.17,65.17 ± 0.64,24,Ghana,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4534830000
Chukcha,70,< 70,6,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.53E+09
Ouarkziz,70,< 70,3.5,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.53E+09
Tin Bider,70,< 70,6,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.53E+09
Kara,70.3,70.3 ± 2.2,65,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4529700000
Manson,74.1,74.1± 0.1,35,"Iowa, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4525900000
Maple Creek,75,< 75,6,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.53E+09
Lappajärvi,76.2,76.20 ± 0.29,23,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4523800000
Zeleny Gai,80,80 ± 20,3.5,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.52E+09
Wetumpka,81,81.0 ± 1.5,6.5,"Alabama, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.52E+09
Dellen,89,89.0 ± 2.7,19,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.51E+09
Steen River,91,91 ± 7,25,"Alberta, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.51E+09
Avak,95,Mar 95,12,"Alaska, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.51E+09
Kentland,97,< 97,13,"Indiana, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.50E+09
Deep Bay,99,99 ± 4,13,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.50E+09
Santa Marta,100,66-100,10,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.50E+09
Sierra Madera,100,< 100,13,"Texas, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.50E+09
Mount Toondina,110,< 110,4,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.49E+09
Carswell,115,115 ± 10,39,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.49E+09
B.P. Structure,120,< 120,2,"Arizona, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.48E+09
