The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Estimated monthly sunspot nmubers.,,
Reference,"Hoyt, D. V., and K. H. Schatten, 1997. Group Sunspot Numbers: A New Solar Activity Reconstruction. Solar Physics, (submitted).",,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsunspotnumber.html,,
Missing,-99,,
Yeay,Month,Date,Sun spot number
1656,3,1656.208333,0
1656,4,1656.291667,0
1656,5,1656.375,0
1656,6,1656.458333,0
1656,7,1656.541667,0
1656,8,1656.625,0
1656,9,1656.708333,0
1656,10,1656.791667,0
1656,11,1656.875,0
1656,12,1656.958333,0
1657,1,1657.041667,0
1657,2,1657.125,0
1657,3,1657.208333,0
1657,4,1657.291667,0
1657,5,1657.375,0
1657,6,1657.458333,0
1657,7,1657.541667,0
1657,8,1657.625,0
1657,9,1657.708333,0
1657,10,1657.791667,0
1657,11,1657.875,0
1657,12,1657.958333,1.9
1658,1,1658.041667,0
1658,2,1658.125,0
1658,3,1658.208333,0
1658,4,1658.291667,0
1658,5,1658.375,0
1658,6,1658.458333,0
1658,7,1658.541667,0
1658,8,1658.625,0
1658,9,1658.708333,0
1658,10,1658.791667,0
1658,11,1658.875,0
1658,12,1658.958333,0
1659,1,1659.041667,0
1659,2,1659.125,0
1659,3,1659.208333,0
1659,4,1659.291667,0
1659,5,1659.375,0
1659,6,1659.458333,0
1659,7,1659.541667,0
1659,8,1659.625,0
1659,9,1659.708333,0
1659,10,1659.791667,0
1659,11,1659.875,0
1659,12,1659.958333,0
1660,1,1660.041667,0
1660,2,1660.125,3.9
1660,3,1660.208333,2.7
1660,4,1660.291667,0
1660,5,1660.375,5
1660,6,1660.458333,3.6
1660,7,1660.541667,5.8
1660,8,1660.625,2.7
1660,9,1660.708333,0
1660,10,1660.791667,0
1660,11,1660.875,0
1660,12,1660.958333,0
1661,1,1661.041667,0
1661,2,1661.125,4.3
1661,3,1661.208333,0
1661,4,1661.291667,0
1661,5,1661.375,0
1661,6,1661.458333,0
1661,7,1661.541667,0
1661,8,1661.625,0
1661,9,1661.708333,0
1661,10,1661.791667,5
1661,11,1661.875,0
1661,12,1661.958333,0
1662,1,1662.041667,0
1662,2,1662.125,0
1662,3,1662.208333,0
1662,4,1662.291667,0
1662,5,1662.375,0
1662,6,1662.458333,0
1662,7,1662.541667,0
1662,8,1662.625,0
1662,9,1662.708333,0
1662,10,1662.791667,0
1662,11,1662.875,0
1662,12,1662.958333,0
1663,1,1663.041667,0
1663,2,1663.125,0
1663,3,1663.208333,0
1663,4,1663.291667,0
1663,5,1663.375,0
1663,6,1663.458333,0
1663,7,1663.541667,0
1663,8,1663.625,0
1663,9,1663.708333,0
1663,10,1663.791667,0
1663,11,1663.875,0
1663,12,1663.958333,0
1664,1,1664.041667,0
1664,2,1664.125,0
1664,3,1664.208333,0
1664,4,1664.291667,0
1664,5,1664.375,0
1664,6,1664.458333,0
1664,7,1664.541667,0
1664,8,1664.625,0
1664,9,1664.708333,0
1664,10,1664.791667,0
1664,11,1664.875,0
1664,12,1664.958333,0
1665,1,1665.041667,0
1665,2,1665.125,0
1665,3,1665.208333,0
1665,4,1665.291667,0
1665,5,1665.375,0
1665,6,1665.458333,0
1665,7,1665.541667,0
1665,8,1665.625,0
1665,9,1665.708333,0
1665,10,1665.791667,0
1665,11,1665.875,0
1665,12,1665.958333,0
1666,1,1666.041667,0
1666,2,1666.125,0
1666,3,1666.208333,0
1666,4,1666.291667,0
1666,5,1666.375,0
1666,6,1666.458333,0
1666,7,1666.541667,0
1666,8,1666.625,0
1666,9,1666.708333,0
1666,10,1666.791667,0
1666,11,1666.875,0
1666,12,1666.958333,0
1667,1,1667.041667,0
1667,2,1667.125,0
1667,3,1667.208333,0
1667,4,1667.291667,0
1667,5,1667.375,0
1667,6,1667.458333,0
1667,7,1667.541667,0
1667,8,1667.625,0
1667,9,1667.708333,0
1667,10,1667.791667,0
1667,11,1667.875,0
1667,12,1667.958333,0
1668,1,1668.041667,0
1668,2,1668.125,0
1668,3,1668.208333,0
1668,4,1668.291667,0
1668,5,1668.375,0
1668,6,1668.458333,0
1668,7,1668.541667,0
1668,8,1668.625,0
1668,9,1668.708333,0
1668,10,1668.791667,0
1668,11,1668.875,0
1668,12,1668.958333,0
1669,1,1669.041667,0
1669,2,1669.125,0
1669,3,1669.208333,0
1669,4,1669.291667,0
1669,5,1669.375,0
1669,6,1669.458333,0
1669,7,1669.541667,0
1669,8,1669.625,0
1669,9,1669.708333,0
1669,10,1669.791667,0
1669,11,1669.875,0
1669,12,1669.958333,0
1670,1,1670.041667,0
1670,2,1670.125,0
1670,3,1670.208333,0
1670,4,1670.291667,0
1670,5,1670.375,0
1670,6,1670.458333,0
1670,7,1670.541667,0
1670,8,1670.625,0
1670,9,1670.708333,0
1670,10,1670.791667,0
1670,11,1670.875,0
1670,12,1670.958333,0
1671,1,1671.041667,0
1671,2,1671.125,0
1671,3,1671.208333,0
1671,4,1671.291667,0
1671,5,1671.375,0
1671,6,1671.458333,0
1671,7,1671.541667,0
1671,8,1671.625,8.5
1671,9,1671.708333,2
1671,10,1671.791667,0
1671,11,1671.875,0
1671,12,1671.958333,0
1672,1,1672.041667,0
1672,2,1672.125,0
1672,3,1672.208333,0
1672,4,1672.291667,0
1672,5,1672.375,0
1672,6,1672.458333,0
1672,7,1672.541667,0
1672,8,1672.625,0
1672,9,1672.708333,0
1672,10,1672.791667,0
1672,11,1672.875,4.4
1672,12,1672.958333,0
1673,1,1673.041667,0
1673,2,1673.125,0
1673,3,1673.208333,0
1673,4,1673.291667,0
1673,5,1673.375,0
1673,6,1673.458333,0
1673,7,1673.541667,0
1673,8,1673.625,0
1673,9,1673.708333,0
1673,10,1673.791667,0
1673,11,1673.875,0
1673,12,1673.958333,0
1674,1,1674.041667,0
1674,2,1674.125,0
1674,3,1674.208333,0
1674,4,1674.291667,0
1674,5,1674.375,0
1674,6,1674.458333,0
1674,7,1674.541667,0
1674,8,1674.625,2.1
1674,9,1674.708333,0
1674,10,1674.791667,
1674,11,1674.875,0
1674,12,1674.958333,0
1675,1,1675.041667,0
1675,2,1675.125,0
1675,3,1675.208333,0
1675,4,1675.291667,0
1675,5,1675.375,0
1675,6,1675.458333,0
1675,7,1675.541667,0
1675,8,1675.625,0
1675,9,1675.708333,0
1675,10,1675.791667,0
1675,11,1675.875,0
1675,12,1675.958333,0
1676,1,1676.041667,0
1676,2,1676.125,0
1676,3,1676.208333,0
1676,4,1676.291667,0
1676,5,1676.375,0
1676,6,1676.458333,2.2
1676,7,1676.541667,0.4
1676,8,1676.625,3.5
1676,9,1676.708333,0
1676,10,1676.791667,4.4
1676,11,1676.875,7
1676,12,1676.958333,4.1
1677,1,1677.041667,2.7
1677,2,1677.125,0
1677,3,1677.208333,0
1677,4,1677.291667,1.2
1677,5,1677.375,0
1677,6,1677.458333,0
1677,7,1677.541667,0
1677,8,1677.625,0
1677,9,1677.708333,0
1677,10,1677.791667,0
1677,11,1677.875,0
1677,12,1677.958333,0
1678,1,1678.041667,0
1678,2,1678.125,1.7
1678,3,1678.208333,1.2
1678,4,1678.291667,0
1678,5,1678.375,0
1678,6,1678.458333,0
1678,7,1678.541667,0
1678,8,1678.625,0
1678,9,1678.708333,0
1678,10,1678.791667,0
1678,11,1678.875,0
1678,12,1678.958333,0
1679,1,1679.041667,0
1679,2,1679.125,0
1679,3,1679.208333,0
1679,4,1679.291667,0
1679,5,1679.375,0
1679,6,1679.458333,0
1679,7,1679.541667,0
1679,8,1679.625,0
1679,9,1679.708333,0
1679,10,1679.791667,0
1679,11,1679.875,0
1679,12,1679.958333,0
1680,1,1680.041667,0
1680,2,1680.125,0
1680,3,1680.208333,0
1680,4,1680.291667,0
1680,5,1680.375,4.8
1680,6,1680.458333,4.3
1680,7,1680.541667,0
1680,8,1680.625,0
1680,9,1680.708333,0
