The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
1982,5,1479,82.2,-3814,3814
1982,6,1774,110.4,-3606,3606
1982,7,1648,106.1,-3421,3421
1982,8,1721,107.6,-3415,3415
1982,9,1671,118.8,-3324,3324
1982,10,1609,94.7,-3402,3402
1982,11,1637,98.1,-3441,3441
1982,12,1932,127,-3372,3372
1983,1,1377,84.3,-3508,3508
1983,2,1196,51,-3600,3600
1983,3,1173,66.5,-3699,3699
1983,4,1199,80.7,-3708,3708
1983,5,1402,99.2,-3570,3570
1983,6,1430,91.1,-3656,3656
1983,7,1291,82.2,-3744,3744
1983,8,1275,71.8,-3752,3752
1983,9,1102,50.3,-3799,3799
1983,10,1118,55.8,-3814,3814
1983,11,904,33.3,-3850,3850
1983,12,905,33.4,-3834,3834
1984,1,1124,57,-3868,3868
1984,2,1372,85.4,-3850,3850
1984,3,1208,83.5,-3784,3784
1984,4,1297,69.7,-3760,3760
1984,5,1311,76.4,-3633,3633
1984,6,1035,46.1,-3727,3727
1984,7,922,37.4,-3767,3767
1984,8,858,25.5,-3818,3818
1984,9,789,15.7,-3844,3844
1984,10,731,12,-3851,3851
1984,11,746,22.8,-3825,3825
1984,12,735,18.7,-3844,3844
1985,1,721,16.5,-3872,3872
1985,2,719,15.9,-3937,3937
1985,3,725,17.2,-3954,3954
1985,4,757,16.2,-3948,3948
1985,5,820,27.5,-3977,3977
1985,6,785,24.2,-4039,4039
1985,7,813,30.7,-4018,4018
1985,8,733,11.1,-4026,4026
1985,9,702,3.9,-4089,4089
1985,10,742,18.6,-4090,4090
1985,11,726,16.2,-4124,4124
1985,12,724,17.3,-4091,4091
1986,1,709,2.5,-4079,4079
1986,2,809,23.2,-3988,3988
1986,3,762,15.1,-4049,4049
1986,4,756,18.5,-4148,4148
1986,5,742,13.7,-4181,4181
1986,6,697,1.1,-4191,4191
1986,7,725,18.1,-4192,4192
1986,8,701,7.4,-4193,4193
1986,9,694,3.8,-4226,4226
1986,10,824,35.4,-4229,4229
1986,11,755,15.2,-4171,4171
1986,12,704,6.8,-4226,4226
1987,1,702,10.4,-4279,4279
1987,2,698,2.4,-4324,4324
1987,3,733,14.7,-4325,4325
1987,4,855,39.6,-4294,4294
1987,5,898,33,-4271,4271
1987,6,804,17.4,-4203,4203
1987,7,870,33,-4165,4165
1987,8,922,38.7,-4120,4120
1987,9,870,33.9,-4073,4073
1987,10,974,60.6,-4089,4089
1987,11,990,39.9,-4031,4031
1987,12,915,27.1,-4035,4035
1988,1,1046,59,-3923,3923
1988,2,1024,40,-3949,3949
1988,3,1138,76.2,-3976,3976
1988,4,1236,88,-3948,3948
1988,5,1179,60.1,-3957,3957
1988,6,1438,101.8,-3934,3934
1988,7,1576,113.8,-3859,3859
1988,8,1580,111.6,-3852,3852
1988,9,1541,120.1,-3876,3876
1988,10,1687,125.1,-3846,3846
1988,11,1528,125.1,-3840,3840
1988,12,1935,179.2,-3752,3752
1989,1,2278,161.3,-3686,3686
1989,2,2170,165.1,-3673,3673
1989,3,2030,131.4,-3458,3458
1989,4,1909,130.6,-3485,3485
1989,5,1944,138.5,-3405,3405
1989,6,2472,196.2,-3437,3437
1989,7,1878,126.9,-3551,3551
1989,8,2225,168.9,-3494,3494
1989,9,2284,176.7,-3382,3382
1989,10,2074,159.4,-3311,3311
1989,11,2300,173,-3252,3252
