years_before_present,temp_anomaly_C,reference
-1974,-0.48,
-1973,-0.45,
-1972,-0.38,
-1971,-0.27,
-1970,-0.2,
-1969,-0.27,
-1968,-0.4,
-1967,-0.41,
-1966,-0.27,
-1965,-0.28,
-1964,-0.39,
-1963,-0.39,
-1962,-0.36,
-1961,-0.36,
-1960,-0.32,
-1959,-0.28,
-1958,-0.29,
-1957,-0.32,
-1956,-0.4,
-1955,-0.47,
-1954,-0.44,
-1953,-0.44,
-1952,-0.49,
-1951,-0.53,
-1950,-0.55,
-1949,-0.52,
-1948,-0.41,
-1947,-0.35,
-1946,-0.37,
-1945,-0.35,
-1944,-0.28,
-1943,-0.19,
-1942,-0.15,
-1941,-0.11,
-1940,-0.09,
-1939,-0.13,
-1938,-0.26,
-1937,-0.39,
-1936,-0.46,
-1935,-0.52,
-1934,-0.58,
-1933,-0.54,
-1932,-0.3,
-1931,-0.08,
-1930,-0.06,
-1929,-0.12,
-1928,-0.17,
-1927,-0.25,
-1926,-0.29,
-1925,-0.2,
-1924,-0.06,
-1923,-0.06,
-1922,-0.14,
-1921,-0.28,
-1920,-0.44,
-1919,-0.4,
-1918,-0.25,
-1917,-0.18,
-1916,-0.16,
-1915,-0.15,
-1914,-0.16,
-1913,-0.19,
-1912,-0.35,
-1911,-0.47,
-1910,-0.28,
-1909,-0.18,
-1908,-0.27,
-1907,-0.24,
-1906,-0.12,
-1905,-0.06,
-1904,-0.14,
-1903,-0.29,
-1902,-0.36,
-1901,-0.28,
-1900,-0.13,
-1899,-0.09,
-1898,-0.24,
-1897,-0.33,
-1896,-0.2,
-1895,-0.12,
-1894,-0.18,
-1893,-0.18,
-1892,-0.08,
-1891,-0.01,
-1890,-0.02,
-1889,-0.09,
-1888,-0.15,
-1887,-0.21,
-1886,-0.21,
-1885,-0.2,
-1884,-0.23,
-1883,-0.22,
-1882,-0.16,
-1881,-0.19,
-1880,-0.27,
-1879,-0.29,
-1878,-0.34,
-1877,-0.39,
-1876,-0.39,
-1875,-0.41,
-1874,-0.43,
-1873,-0.36,
-1872,-0.18,
-1871,-0.17,
-1870,-0.41,
-1869,-0.59,
-1868,-0.51,
-1867,-0.32,
-1866,-0.19,
-1865,-0.11,
-1864,-0.02,
-1863,-0.02,
-1862,-0.11,
-1861,-0.17,
-1860,-0.16,
-1859,-0.12,
-1858,-0.09,
-1857,-0.15,
-1856,-0.3,
-1855,-0.35,
-1854,-0.23,
-1853,-0.21,
-1852,-0.33,
-1851,-0.34,
-1850,-0.27,
-1849,-0.33,
-1848,-0.43,
-1847,-0.47,
-1846,-0.54,
-1845,-0.61,
-1844,-0.58,
-1843,-0.5,
-1842,-0.46,
-1841,-0.44,
-1840,-0.39,
-1839,-0.38,
-1838,-0.31,
-1837,-0.23,
-1836,-0.16,
-1835,-0.11,
-1834,-0.12,
-1833,-0.15,
-1832,-0.23,
-1831,-0.32,
-1830,-0.3,
-1829,-0.2,
-1828,-0.12,
-1827,-0.1,
-1826,-0.17,
-1825,-0.32,
-1824,-0.42,
-1823,-0.41,
-1822,-0.32,
-1821,-0.28,
-1820,-0.35,
-1819,-0.39,
-1818,-0.3,
-1817,-0.15,
-1816,-0.08,
-1815,-0.1,
-1814,-0.18,
-1813,-0.37,
-1812,-0.53,
-1811,-0.54,
-1810,-0.51,
-1809,-0.39,
-1808,-0.2,
-1807,-0.18,
-1806,-0.32,
-1805,-0.37,
-1804,-0.28,
-1803,-0.22,
-1802,-0.29,
-1801,-0.38,
-1800,-0.42,
-1799,-0.39,
-1798,-0.34,
-1797,-0.34,
-1796,-0.34,
-1795,-0.35,
-1794,-0.34,
-1793,-0.26,
-1792,-0.18,
-1791,-0.22,
-1790,-0.29,
-1789,-0.24,
-1788,-0.15,
-1787,-0.22,
-1786,-0.45,
-1785,-0.66,
-1784,-0.63,
-1783,-0.42,
-1782,-0.36,
-1781,-0.31,
-1780,-0.18,
-1779,-0.11,
-1778,-0.15,
-1777,-0.22,
-1776,-0.19,
-1775,-0.07,
-1774,-0.01,
-1773,-0.08,
-1772,-0.16,
-1771,-0.18,
-1770,-0.21,
-1769,-0.24,
-1768,-0.21,
-1767,-0.22,
-1766,-0.34,
-1765,-0.45,
-1764,-0.35,
-1763,-0.22,
-1762,-0.15,
-1761,-0.05,
-1760,-0.06,
-1759,-0.25,
-1758,-0.32,
-1757,-0.19,
-1756,-0.05,
-1755,-0.03,
-1754,-0.07,
-1753,-0.14,
-1752,-0.22,
-1751,-0.22,
-1750,-0.17,
-1749,-0.14,
-1748,-0.17,
-1747,-0.27,
-1746,-0.37,
-1745,-0.26,
-1744,-0.1,
-1743,-0.12,
-1742,-0.21,
-1741,-0.16,
-1740,0,
-1739,0.09,
-1738,0,
-1737,-0.08,
-1736,-0.02,
-1735,0.05,
-1734,0.09,
-1733,0.12,
-1732,0.11,
-1731,0.02,
-1730,-0.08,
-1729,-0.17,
-1728,-0.29,
-1727,-0.49,
-1726,-0.53,
-1725,-0.26,
-1724,-0.08,
-1723,-0.15,
-1722,-0.24,
-1721,-0.24,
-1720,-0.22,
-1719,-0.21,
-1718,-0.18,
-1717,-0.18,
-1716,-0.32,
-1715,-0.54,
-1714,-0.6,
-1713,-0.49,
