Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Oct-70,1970.792,-0.8,0,-0.8
Nov-70,1970.875,-0.9,0,-0.9
Dec-70,1970.958,-1.1,0,-1.1
Jan-71,1971.042,-1.3,0,-1.3
Feb-71,1971.125,-1.3,0,-1.3
Mar-71,1971.208,-1.1,0,-1.1
Apr-71,1971.292,-0.9,0,-0.9
May-71,1971.375,-0.8,0,-0.8
Jun-71,1971.458,-0.8,0,-0.8
Jul-71,1971.542,-0.8,0,-0.8
Aug-71,1971.625,-0.8,0,-0.8
Sep-71,1971.708,-0.8,0,-0.8
Oct-71,1971.792,-0.9,0,-0.9
Nov-71,1971.875,-1,0,-1
Dec-71,1971.958,-0.9,0,-0.9
Jan-72,1972.042,-0.7,0,-0.7
Feb-72,1972.125,-0.4,0,-0.4
Mar-72,1972.208,0,0,0
Apr-72,1972.292,0.2,0.2,0
May-72,1972.375,0.5,0.5,0
Jun-72,1972.458,0.8,0.8,0
Jul-72,1972.542,1,1,0
Aug-72,1972.625,1.3,1.3,0
Sep-72,1972.708,1.5,1.5,0
Oct-72,1972.792,1.8,1.8,0
Nov-72,1972.875,2,2,0
Dec-72,1972.958,2.1,2.1,0
Jan-73,1973.042,1.8,1.8,0
Feb-73,1973.125,1.2,1.2,0
Mar-73,1973.208,0.5,0.5,0
Apr-73,1973.292,-0.1,0,-0.1
May-73,1973.375,-0.6,0,-0.6
Jun-73,1973.458,-0.9,0,-0.9
Jul-73,1973.542,-1.1,0,-1.1
Aug-73,1973.625,-1.3,0,-1.3
Sep-73,1973.708,-1.4,0,-1.4
Oct-73,1973.792,-1.7,0,-1.7
Nov-73,1973.875,-2,0,-2
Dec-73,1973.958,-2.1,0,-2.1
Jan-74,1974.042,-1.9,0,-1.9
Feb-74,1974.125,-1.7,0,-1.7
Mar-74,1974.208,-1.3,0,-1.3
Apr-74,1974.292,-1.1,0,-1.1
May-74,1974.375,-0.9,0,-0.9
Jun-74,1974.458,-0.8,0,-0.8
Jul-74,1974.542,-0.6,0,-0.6
Aug-74,1974.625,-0.5,0,-0.5
Sep-74,1974.708,-0.5,0,-0.5
Oct-74,1974.792,-0.7,0,-0.7
Nov-74,1974.875,-0.9,0,-0.9
Dec-74,1974.958,-0.7,0,-0.7
Jan-75,1975.042,-0.6,0,-0.6
Feb-75,1975.125,-0.6,0,-0.6
Mar-75,1975.208,-0.7,0,-0.7
Apr-75,1975.292,-0.8,0,-0.8
May-75,1975.375,-0.9,0,-0.9
Jun-75,1975.458,-1.1,0,-1.1
Jul-75,1975.542,-1.2,0,-1.2
Aug-75,1975.625,-1.3,0,-1.3
Sep-75,1975.708,-1.5,0,-1.5
Oct-75,1975.792,-1.6,0,-1.6
Nov-75,1975.875,-1.7,0,-1.7
Dec-75,1975.958,-1.7,0,-1.7
Jan-76,1976.042,-1.6,0,-1.6
Feb-76,1976.125,-1.2,0,-1.2
Mar-76,1976.208,-0.8,0,-0.8
Apr-76,1976.292,-0.6,0,-0.6
May-76,1976.375,-0.5,0,-0.5
Jun-76,1976.458,-0.2,0,-0.2
Jul-76,1976.542,0.1,0.1,0
Aug-76,1976.625,0.3,0.3,0
Sep-76,1976.708,0.5,0.5,0
Oct-76,1976.792,0.7,0.7,0
Nov-76,1976.875,0.8,0.8,0
Dec-76,1976.958,0.7,0.7,0
Jan-77,1977.042,0.6,0.6,0
Feb-77,1977.125,0.5,0.5,0
Mar-77,1977.208,0.2,0.2,0
Apr-77,1977.292,0.2,0.2,0
May-77,1977.375,0.2,0.2,0
Jun-77,1977.458,0.4,0.4,0
Jul-77,1977.542,0.4,0.4,0
Aug-77,1977.625,0.4,0.4,0
Sep-77,1977.708,0.5,0.5,0
Oct-77,1977.792,0.6,0.6,0
Nov-77,1977.875,0.7,0.7,0
Dec-77,1977.958,0.7,0.7,0
Jan-78,1978.042,0.7,0.7,0
Feb-78,1978.125,0.4,0.4,0
Mar-78,1978.208,0,0,0
Apr-78,1978.292,-0.3,0,-0.3
May-78,1978.375,-0.4,0,-0.4
Jun-78,1978.458,-0.4,0,-0.4
Jul-78,1978.542,-0.4,0,-0.4
Aug-78,1978.625,-0.4,0,-0.4
Sep-78,1978.708,-0.4,0,-0.4
Oct-78,1978.792,-0.3,0,-0.3
Nov-78,1978.875,-0.2,0,-0.2
Dec-78,1978.958,-0.1,0,-0.1
Jan-79,1979.042,-0.1,0,-0.1
Feb-79,1979.125,0,0,0
Mar-79,1979.208,0.1,0.1,0
Apr-79,1979.292,0.1,0.1,0
May-79,1979.375,0.1,0.1,0
Jun-79,1979.458,-0.1,0,-0.1
Jul-79,1979.542,0,0,0
Aug-79,1979.625,0.1,0.1,0
Sep-79,1979.708,0.3,0.3,0
Oct-79,1979.792,0.4,0.4,0
Nov-79,1979.875,0.5,0.5,0
Dec-79,1979.958,0.5,0.5,0
Jan-80,1980.042,0.5,0.5,0
Feb-80,1980.125,0.3,0.3,0
Mar-80,1980.208,0.2,0.2,0
Apr-80,1980.292,0.2,0.2,0
May-80,1980.375,0.3,0.3,0
Jun-80,1980.458,0.3,0.3,0
Jul-80,1980.542,0.2,0.2,0
Aug-80,1980.625,0,0,0
Sep-80,1980.708,-0.1,0,-0.1
Oct-80,1980.792,-0.1,0,-0.1
Nov-80,1980.875,0,0,0
Dec-80,1980.958,-0.1,0,-0.1
Jan-81,1981.042,-0.3,0,-0.3
Feb-81,1981.125,-0.5,0,-0.5
Mar-81,1981.208,-0.5,0,-0.5
Apr-81,1981.292,-0.4,0,-0.4
May-81,1981.375,-0.3,0,-0.3
Jun-81,1981.458,-0.3,0,-0.3
Jul-81,1981.542,-0.4,0,-0.4
Aug-81,1981.625,-0.4,0,-0.4
Sep-81,1981.708,-0.3,0,-0.3
Oct-81,1981.792,-0.2,0,-0.2
Nov-81,1981.875,-0.1,0,-0.1
Dec-81,1981.958,-0.1,0,-0.1
Jan-82,1982.042,0,0,0
Feb-82,1982.125,0.1,0.1,0
Mar-82,1982.208,0.1,0.1,0
Apr-82,1982.292,0.3,0.3,0
May-82,1982.375,0.6,0.6,0
Jun-82,1982.458,0.7,0.7,0
Jul-82,1982.542,0.7,0.7,0
Aug-82,1982.625,1,1,0
Sep-82,1982.708,1.5,1.5,0
Oct-82,1982.792,1.9,1.9,0
Nov-82,1982.875,2.2,2.2,0
Dec-82,1982.958,2.3,2.3,0
Jan-83,1983.042,2.3,2.3,0
Feb-83,1983.125,2,2,0
Mar-83,1983.208,1.5,1.5,0
Apr-83,1983.292,1.2,1.2,0
May-83,1983.375,1,1,0
Jun-83,1983.458,0.6,0.6,0
Jul-83,1983.542,0.2,0.2,0
Aug-83,1983.625,-0.2,0,-0.2
Sep-83,1983.708,-0.6,0,-0.6
Oct-83,1983.792,-0.8,0,-0.8
Nov-83,1983.875,-0.9,0,-0.9
Dec-83,1983.958,-0.7,0,-0.7
Jan-84,1984.042,-0.4,0,-0.4
Feb-84,1984.125,-0.2,0,-0.2
Mar-84,1984.208,-0.2,0,-0.2
Apr-84,1984.292,-0.3,0,-0.3
May-84,1984.375,-0.5,0,-0.5
Jun-84,1984.458,-0.4,0,-0.4
Jul-84,1984.542,-0.3,0,-0.3
Aug-84,1984.625,-0.2,0,-0.2
Sep-84,1984.708,-0.3,0,-0.3
Oct-84,1984.792,-0.6,0,-0.6
Nov-84,1984.875,-0.9,0,-0.9
Dec-84,1984.958,-1.1,0,-1.1
Jan-85,1985.042,-0.9,0,-0.9
Feb-85,1985.125,-0.8,0,-0.8
Mar-85,1985.208,-0.7,0,-0.7
Apr-85,1985.292,-0.7,0,-0.7
May-85,1985.375,-0.7,0,-0.7
Jun-85,1985.458,-0.6,0,-0.6
Jul-85,1985.542,-0.5,0,-0.5
Aug-85,1985.625,-0.5,0,-0.5
Sep-85,1985.708,-0.5,0,-0.5
Oct-85,1985.792,-0.4,0,-0.4
Nov-85,1985.875,-0.3,0,-0.3
Dec-85,1985.958,-0.4,0,-0.4
Jan-86,1986.042,-0.5,0,-0.5
Feb-86,1986.125,-0.4,0,-0.4
Mar-86,1986.208,-0.2,0,-0.2
Apr-86,1986.292,-0.2,0,-0.2
May-86,1986.375,-0.1,0,-0.1
Jun-86,1986.458,0,0,0
Jul-86,1986.542,0.3,0.3,0
Aug-86,1986.625,0.5,0.5,0
Sep-86,1986.708,0.7,0.7,0
Oct-86,1986.792,0.9,0.9,0
Nov-86,1986.875,1.1,1.1,0
Dec-86,1986.958,1.2,1.2,0
Jan-87,1987.042,1.2,1.2,0
