The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,
Title,Milankovitch radiation for different latitudes and time periods,,,,,
Source:,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,,,,
Average of 60 and 70 N,,,,,,
BP,Months  7to 7,Annual 65N,Annual global,BP,BP,Global cos-weighted
-782300,456.16,216.45,292.08,-624,-624000,340.968
-782200,455.39,216.24,292.07,-623,-623000,340.966
-782100,454.61,216.03,292.05,-622,-622000,340.963
-782000,453.84,215.82,292.04,-621,-621000,340.96
-781900,453.06,215.61,292.02,-620,-620000,340.957
-781800,452.26,215.42,292.01,-619,-619000,340.956
-781700,451.46,215.22,291.99,-618,-618000,340.955
-781600,450.67,215.02,291.98,-617,-617000,340.953
-781500,449.87,214.82,291.96,-616,-616000,340.952
-781400,449.07,214.63,291.95,-615,-615000,340.951
-781300,448.27,214.43,291.93,-614,-614000,340.95
-781200,447.47,214.23,291.91,-613,-613000,340.949
-781100,446.67,214.03,291.9,-612,-612000,340.947
-781000,445.87,213.83,291.88,-611,-611000,340.946
-780900,445.07,213.64,291.87,-610,-610000,340.945
-780800,444.3,213.48,291.85,-609,-609000,340.945
-780700,443.52,213.33,291.84,-608,-608000,340.945
-780600,442.75,213.17,291.82,-607,-607000,340.945
-780500,441.97,213.02,291.81,-606,-606000,340.946
-780400,441.2,212.86,291.79,-605,-605000,340.946
-780300,440.42,212.7,291.78,-604,-604000,340.946
-780200,439.65,212.55,291.76,-603,-603000,340.946
-780100,438.87,212.39,291.75,-602,-602000,340.947
-780000,438.1,212.24,291.73,-601,-601000,340.947
-779900,437.32,212.08,291.72,-600,-600000,340.947
-779800,436.67,211.99,291.7,-599,-599000,340.943
-779700,436.02,211.89,291.68,-598,-598000,340.939
-779600,435.36,211.8,291.66,-597,-597000,340.935
-779500,434.71,211.7,291.64,-596,-596000,340.931
-779400,434.05,211.61,291.62,-595,-595000,340.927
-779300,433.4,211.51,291.6,-594,-594000,340.923
-779200,432.75,211.42,291.58,-593,-593000,340.918
-779100,432.09,211.32,291.56,-592,-592000,340.914
-779000,431.44,211.23,291.54,-591,-591000,340.91
-778900,430.78,211.13,291.52,-590,-590000,340.906
-778800,430.28,211.08,291.51,-589,-589000,340.904
-778700,429.77,211.03,291.49,-588,-588000,340.902
-778600,429.26,210.98,291.47,-587,-587000,340.899
-778500,428.75,210.93,291.45,-586,-586000,340.897
-778400,428.24,210.88,291.43,-585,-585000,340.895
-778300,427.73,210.83,291.41,-584,-584000,340.893
-778200,427.23,210.78,291.4,-583,-583000,340.89
-778100,426.72,210.73,291.38,-582,-582000,340.888
-778000,426.21,210.68,291.36,-581,-581000,340.886
-777900,425.7,210.63,291.34,-580,-580000,340.884
-777800,425.38,210.63,291.32,-579,-579000,340.882
-777700,425.07,210.64,291.31,-578,-578000,340.88
-777600,424.76,210.64,291.29,-577,-577000,340.878
-777500,424.44,210.65,291.27,-576,-576000,340.877
-777400,424.13,210.65,291.25,-575,-575000,340.875
-777300,423.81,210.65,291.23,-574,-574000,340.873
-777200,423.5,210.66,291.21,-573,-573000,340.871
-777100,423.18,210.66,291.19,-572,-572000,340.87
-777000,422.87,210.67,291.18,-571,-571000,340.868
-776900,422.55,210.67,291.16,-570,-570000,340.866
