years_before_present,CO2_ppm
326389,266.1
325788,264
325039,266.2
324348,260.5
323594,260.3
322835,260.4
322083,257.2
320426,249.2
319548,255.8
318627,233.4
317802,245.2
316965,251.6
316268,272.6
315640,246.8
314935,257.1
314212,256.7
313482,251.6
312744,241.9
311936,239
311081,237.8
310236,233.2
309457,226.2
308812,227.8
307563,225.8
306615,244.8
305723,248.6
304969,250.2
304300,240.7
303294,240.2
302348,236
301470,239
300540,236.1
299689,231
298809,224.4
297989,217.1
295998,213.1
294636,212.7
293847,206.7
293125,206
292473,207.6
291435,217.1
290798,220.4
290221,234.9
288301,231
287606,230.4
287104,231.4
286196,226.4
285448,228
283853,231.3
281826,223.7
280337,215.3
279388,211
278418,204.5
277429,202.2
276394,193.2
275418,198.4
274389,194.1
273378,193.9
272379,190.4
271324,184.7
270290,198.8
269222,194.2
268249,187.2
267510,188.7
266394,211.7
265721,199.9
264577,228.1
262998,214.6
262160,208.9
260984,205.7
260421,209.6
258729,203.9
257168,204
256377,201.9
255566,199
253704,195.4
252807,196.7
251932,195.4
251073,213.9
250201,200.2
247749,214.7
245509,219.4
244932,230.4
244415,236.7
243924,249.9
243497,252.3
243139,263.7
242414,280.2
242075,279
241434,263.2
241013,259.7
240041,252.8
239545,247.4
239081,245.8
238626,245.6
237936,239.1
237362,243.1
236802,247.4
236182,241.4
235548,252.1
234885,245.2
231134,241.6
230490,233.9
229491,232.4
227844,224.5
227095,233.1
226779,234.5
225977,235.5
224991,215.7
224337,203.3
222098,205.6
220807,208.8
220126,207.1
219184,216.1
218429,214.1
216420,240.5
215450,245.3
214862,251.1
214527,251.7
214052,247.5
213604,242.6
213338,240.3
212784,241.4
211926,251.2
210881,243.4
210222,257.4
209885,239.5
209500,246.9
209063,252
208871,247.2
208322,243.9
208132,244.6
207612,242.2
207188,240.5
206878,230
206212,237.2
206020,238.1
205430,231.4
204976,229.4
204548,226.3
203905,228.6
203385,232.2
202942,231.9
202481,244.4
201231,247.6
199986,239.1
199040,250.9
196247,242.6
195741,241.2
195085,226.4
193549,220
192978,226.5
190420,218
189144,220.3
188504,231.4
186765,231.3
184753,210.7
182114,203.4
180136,199.7
179185,198.1
178247,217.7
177207,213.2
175374,207.7
173462,190.1
173203,189.4
172502,190.3
171419,196
169560,197.7
167251,197.8
164507,196.6
163766,183.8
163092,186.7
162296,190.1
161747,191.6
160011,196.5
159630,204.3
155881,187.5
155463,185.5
154548,189
151491,200.6
149989,188.9
149871,191.9
148899,203
145431,196.9
142126,190.4
141028,196.4
140967,195.6
139685,196.5
139343,192.3
138253,190.2
138050,194.2
137701,193.4
137361,194.3
136723,201.1
136635,195.8
136319,202.4
136079,200.7
135951,201.7
135671,198
135275,198
135182,200.4
135028,204.5
134355,203.7
134191,208.9
133495,210.6
133173,220.3
133137,223.9
132560,223.5
131796,228.9
131523,240.4
131397,245
129804,259
129720,257.9
129408,263.4
129214,264.1
128934,282.6
128677,286.8
128440,287.1
128412,274
127975,275.6
127690,275.3
127200,262.6
126954,262.5
126666,267.1
126415,273.7
125502,277.1
125330,273
125149,279.7
124857,266.3
124325,266.6
124281,268.7
123138,276.4
122412,272.1
121085,277.6
120450,265.2
119740,271.9
118717,273.7
117818,267.6
116569,262.5
115186,273.2
114669,274.5
114164,261.4
113330,266.3
111930,256.7
109872,251.2
108221,245.6
107647,238.2
105704,230.6
104772,236.9
103533,228.1
101817,236.9
100905,230.8
99917,225.8
94421,232
91317,228.3
90425,224.2
87985,208
86249,217
85088,214.2
84084,228
83401,236.4
82485,241.1
80682,230.9
78251,221.7
77218,217.1
73295,229.1
71117,227.3
66007,194.9
65007,191.4
62927,195.3
57725,210.4
57156,221.7
52450,190.4
50731,215.7
49758,210.1
48922,188.4
47404,189.3
43568,209.1
37539,209.1
35077,205.3
30088,191.7
29131,188.5
26062,191.6
22895,189.2
22083,184.4
21922,185.7
21575,186.1
21325,184.7
21079,186.5
20816,186.9
20570,187.8
20265,195
20236,188.2
20056,188
19816,190
19577,188.8
19415,188.7
18989,188.3
18936,192.3
18896,189.4
18609,188.6
18353,187
18011,189.2
17877,188.5
17633,188.5
17443,191
17179,193.9
16938,195.2
16727,200.8
16520,202.9
16328,207.7
16141,207.5
15954,214
15810,219.4
15638,220.9
15506,221
15301,222
15080,224.5
14958,225.2
14793,226.1
14618,228.4
14371,228.5
14016,239.1
13872,238.6
13721,238.6
13610,239.2
13508,236.4
13309,237.6
13158,237.9
13010,237.3
12828,238.3
12710,234.2
12564,237.6
12439,237.5
12190,240.3
12118,243.2
12026,246.6
11964,245.3
11887,245.3
11795,250.7
11744,251.1
11703,249.7
11648,250.7
11537,253.8
11504,253.9
11460,255.4
11406,260.8
11346,258.8
11304,265.2
11269,263
11204,264
11155,264.5
11082,264.2
11001,264.1
10963,264.4
10895,265.3
10873,265
10812,264.8
10689,264.8
10595,267.6
10485,265.1
10362,266
10277,266.9
10156,267.5
10051,264.9
9977,265.7
9875,263.4
9789,264
9665,264.2
9604,264.4
9385,263.8
9300,263
9208,260.9
9160,260.6
9041,265.2
8937,263.8
8852,263.7
8721,262
8647,259.3
8545,260.4
8455,260.9
8349,259
8249,261.8
8118,260.7
8058,261.3
7944,258.3
7849,259.3
7759,259.6
7658,260.8
7575,259.2
7481,259.7
7388,260.4
7302,260.1
7180,258.4
7096,260.7
7009,263
6906,262.3
6781,257.6
6685,258.1
6613,262.9
6502,262.1
6422,259.4
6331,261.1
6199,261.2
6107,262.7
6066,263.2
5923,265.5
5784,266.7
5725,260.7
5630,265.5
5544,265.9
5438,267.6
5342,265.2
5228,265.3
5162,267.6
5072,269.8
4942,268.6
4834,269.3
4771,270.7
4641,271.5
4548,269.8
4442,269.1
4392,271.1
4229,271.5
4164,272.8
4072,271.6
3978,271.7
3858,274.9
3789,275.4
3690,271.5
3591,273
3521,273.4
3404,275
3283,274
3184,273.1
3121,276.3
2970,274.6
2874,276.3
2796,274.7
2672,275.3
2604,278.9
2501,273.9
2402,277.9
2280,277.6
2196,276.7
2125,276.7
1999,276.9
1880,278
1801,278.7
1706,278.9
1620,280
1521,279.2
1418,277.4
1301,278.7
1221,277.7
1128,279.1
1018,276.6
1008,279.5
1003,279.6
998,279.7
993,279.8
988,279.9
983,280
978,280.2
973,280.3
968,280.5
963,280.7
958,280.9
953,281.1
948,281.3
943,281.5
938,281.7
933,281.9
928,282.1
923,282.3
918,282.5
913,282.7
908,282.9
903,283
898,283.2
893,283.3
888,283.5
883,283.6
878,283.7
873,283.8
868,283.9
863,284
858,284
853,284.1
848,284.1
843,284.1
838,284
833,284
828,283.9
823,283.8
818,283.6
813,283.4
808,283.2
803,283
798,282.8
793,282.5
788,282.3
783,282.2
778,282
773,281.9
768,281.9
763,281.9
758,282
753,282.1
748,282.2
743,282.3
738,282.5
733,282.6
728,282.8
723,282.9
718,283
713,283.1
708,283.2
703,283.3
698,283.3
693,283.2
688,283.1
683,282.9
678,282.7
673,282.4
668,282.1
663,281.8
658,281.5
653,281.2
648,281
643,280.7
638,280.5
633,280.4
628,280.3
623,280.3
618,280.3
613,280.4
608,280.5
603,280.6
598,280.7
593,280.8
588,280.9
583,280.9
578,280.9
573,280.9
568,280.8
563,280.7
558,280.6
553,280.6
548,280.6
543,280.8
538,281
533,281.3
528,281.6
523,281.9
518,282.2
513,282.5
508,282.7
503,282.9
498,283.1
493,283.2
488,283.2
483,283.2
478,283.1
473,283
468,282.8
463,282.6
458,282.2
453,281.8
448,281.2
443,280.5
438,279.7
433,278.8
428,278
423,277.1
418,276.4
413,275.8
408,275.5
403,275.3
398,275.3
393,275.4
388,275.6
383,275.9
378,276.1
373,276.3
368,276.4
363,276.5
358,276.5
353,276.5
348,276.4
343,276.4
338,276.4
333,276.4
328,276.5
323,276.6
318,276.7
313,276.8
308,276.9
303,277
298,277
293,277
288,277
283,276.9
278,276.9
273,276.9
268,277
263,277.2
258,277.6
253,278
248,278.6
243,279.3
238,280.1
233,280.8
228,281.6
223,282.3
218,282.9
213,283.4
208,283.8
203,284
198,284.2
193,284.3
188,284.4
186,284.3
185,284.1
184,284
183,283.8
182,283.7
181,283.5
180,283.4
179,283.4
178,283.4
177,283.4
176,283.5
175,283.6
174,283.7
173,283.9
172,284.1
171,284.2
170,284.4
169,284.6
168,284.7
167,284.9
166,285
165,285.1
164,285.3
163,285.4
162,285.6
161,285.7
160,285.9
159,286.1
158,286.2
157,286.4
156,286.5
155,286.6
154,286.8
153,286.9
152,287
151,287.1
150,287.2
149,287.4
148,287.5
147,287.7
146,287.9
145,288.1
144,288.4
143,288.7
142,289
141,289.4
140,289.8
139,290.2
138,290.7
137,291.2
136,291.7
135,292.1
134,292.6
133,293
132,293.3
131,293.6
130,293.8
129,294
128,294.2
127,294.3
126,294.5
125,294.6
124,294.7
123,294.8
122,294.9
121,295
120,295.2
119,295.5
118,295.8
117,296.1
116,296.5
115,296.8
114,297.2
113,297.6
112,298.1
111,298.5
110,298.9
109,299.3
108,299.7
107,300.1
106,300.4
105,300.8
104,301.1
103,301.4
102,301.7
101,302.1
100,302.4
99,302.7
98,303
97,303.4
96,303.8
95,304.1
94,304.5
93,305
92,305.4
91,305.8
90,306.3
89,306.8
88,307.2
87,307.7
86,308.2
85,308.6
84,309
83,309.4
82,309.8
81,310
80,310.2
79,310.3
78,310.4
77,310.4
76,310.3
75,310.2
74,310.1
73,310.1
72,310.1
71,310.2
70,310.3
69,310.5
68,310.7
67,311.1
66,311.5
65,311.9
64,312.4
63,313
62,313.6
61,314.2
60,314.9
59,315.97
58,316.91
57,317.64
56,318.45
55,318.99
54,319.62
53,320.04
52,321.38
51,322.16
50,323.04
49,324.62
48,325.68
47,326.32
46,327.45
45,329.68
44,330.18
43,331.11
42,332.04
41,333.83
40,335.4
39,336.84
38,338.75
37,340.11
36,341.45
35,343.05
34,344.65
33,346.12
32,347.42
31,349.19
30,351.57
29,353.12
28,354.39
27,355.61
26,356.45
25,357.1
24,358.83
23,360.82
22,362.61
21,363.73
20,366.7
19,368.38
18,369.55
17,371.14
16,373.28
15,375.8
14,377.52
13,379.8
12,381.9
11,383.79
10,385.6
9,387.43
8,389.9
7,391.65
6,393.85
5,396.52
4,398.65
3,400.83
2,404.21
1,406.53
3.17098E-08,415.79
