Name,Age_Ma,Diameter_km,Location,Reference,yearsElapsed
Dellen,89,19,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4510000000
Steen River,91,25,"Alberta, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4510000000
Avak,95,12,"Alaska, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4510000000
Kentland,97,13,"Indiana, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4500000000
Deep Bay,99,13,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4500000000
Santa Marta,100,10,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4500000000
Sierra Madera,100,13,"Texas, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4500000000
Mount Toondina,110,4,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4490000000
Carswell,115,39,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4490000000
B.P. Structure,120,2,"Arizona, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4480000000
Oasis,120,18,Libya,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4480000000
Rotmistrovka,120,2.7,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4480000000
Mien,121,9,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4480000000
Vargeao Dome,123,12,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4480000000
Tookoonoka,128,55,"Queensland, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4470000000
Tunnunik (Prince Albert),130,25,"Victoria Island, Arctic Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4470000000
Mjolnir,142,40,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4460000000
Gosses Bluff,142.5,22,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4457500000
Morokweng,145,70,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4460000000
Liverpool,150,1.6,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4450000000
Tabun-Khara-Obo,150,1.3,Mongolia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4450000000
Vepriai,160,8,Lithuania,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4440000000
Zapadnaya,165,3.2,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4440000000
Puchezh-Katunki,167,40,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4430000000
Obolon',169,20,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4430000000
Upheaval Dome,170,10,"Utah, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4430000000
Kgagodi,180,3.5,Botswana,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4420000000
Cloud Creek,190,7,"Wyoming, USA",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4410000000
Viewfield,190,2.5,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4410000000
Red Wing,200,9,"North Dakota, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4400000000
Riachao Ring,200,4.5,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4400000000
Wells Creek,200,12,"Tennessee, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4400000000
Rochechouart,201,23,France,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4400000000
Manicouagan,214,85,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4390000000
Saint Martin,220,40,"Manitoba, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4380000000
Karikkoselka,230,1.5,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4370000000
Gow,250,5,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4350000000
Kursk,250,6,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4350000000
Suvasvesi S,250,3.8,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4350000000
Araguainha,254.7,40,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4345300000
Des Plaines,280,8,"Illinois, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4320000000
Ternovka,280,11,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4320000000
Clearwater West,290,36,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4310000000
Dobele,290,4.5,Latvia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4310000000
Decaturville,300,6,"Missouri, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4300000000
Ile Rouleau,300,4,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4300000000
Middlesboro,300,6,"Kentucky, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4300000000
Mishina Gora,300,2.5,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4300000000
Serra da Cangalha,300,12,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4300000000
Crooked Creek,320,7,"Missouri, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4280000000
Serpent Mound,320,8,"Ohio, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4280000000
Charlevoix,342,54,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4260000000
Aorounga,345,12.6,Chad,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4260000000
Gweni-Fada,345,14,"Chad, Africa",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4260000000
West Hawk,351,2.44,"Manitoba, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4250000000
Flynn Creek,360,3.8,"Tennessee, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4240000000
Piccaninny,360,7,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4240000000
Woodleigh,364,40,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4240000000
Siljan,376.8,52,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4223200000
Ilyinets,378,8.5,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4220000000
Kaluga,380,15,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4220000000
Elbow,395,8,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4210000000
La Moinerie,400,8,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4200000000
Nicholson,400,12.5,"Northwest Territories, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4200000000
Couture,430,8,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4170000000
Glasford,430,4,"Illinois, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4170000000
Pilot,445,6,"Northwest Territories, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4160000000
Calvin,450,8.5,"Michigan, USA",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4150000000
Slate Islands,450,30,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4150000000
Brent,453,3.8,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4150000000
Kardla,455,4,Estonia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4150000000
Tvaren,455,2,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4150000000
Lockne,458,7.5,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4140000000
Malingen,458,1,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4140000000
Clearwater East,460,26,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4140000000
Ames,470,16,"Oklahoma, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4130000000
Granby,470,3,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4130000000
Gardnos,500,5,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Glover Bluff,500,8,"Wisconsin, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Mizarai,500,5,Lithuania,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Newporte,500,3.2,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Presqu'ile,500,24,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Rock Elm,505,6,"Wisconsin, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4100000000
Glikson,508,19,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4090000000
Lawn Hill,515,18,"Queensland, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4090000000
Ritland,520,2.7,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4080000000
Neugrund,535,8,Estonia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4070000000
Foelsche,545,6,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4060000000
Holleford,550,2.35,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4050000000
Kelly West,550,10,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4050000000
Saaksjarvi,560,6,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4040000000
Spider,570,13,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4030000000
Luizi,573,17,Democratic Republic of Congo,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4030000000
Acraman,590,90,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4010000000
Beaverhead,600,60,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4000000000
Saarijarvi,600,1.5,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4000000000
Soderfjarden,600,6.6,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4000000000
