Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
103,1013.91,700.81,846.51,1243.6,1399.68
103.5,1012.72,689.34,855.85,1258.65,1420.69
104,1027.05,679.81,855.2,1276.3,1441.05
104.5,1040.37,680.47,854.22,1299.18,1477.69
105,1046.47,681.97,859.72,1308,1494.91
105.5,1019.65,693.11,866.63,1320.53,1516.04
106,1037.44,693.12,871.42,1333.14,1530.78
106.5,1033.25,682.51,870.08,1351.13,1562.19
107,1028.16,672.54,868.72,1368.17,1590.83
107.5,1039.07,661.49,857.7,1388.69,1626.42
108,1040.79,668.04,858.63,1402.34,1646.39
108.5,1055.28,663.72,868.79,1410.59,1650.65
109,1058.74,681.73,872.85,1413.16,1646.9
109.5,1069.77,697.54,880.48,1404.02,1636.46
110,1110.78,697.67,891.68,1398.87,1629.87
110.5,1112.36,698.69,890.46,1400.58,1651.27
111,1148.07,709.5,884.26,1401.38,1657.74
111.5,1171.66,697.88,885.98,1405.13,1669.78
112,1084.42,705.3,893.92,1404.32,1671.19
112.5,1095.61,715.31,900.18,1402.65,1693.67
113,1194.91,710.36,909.31,1403.23,1669.1
113.5,1207.55,725.86,930.54,1418.97,1642.38
114,1123.15,722.17,935.93,1435.49,1663.06
114.5,1112.02,724,937.77,1448.99,1679.86
115,1107.09,715.82,936.31,1450.86,1688.2
115.5,1102.52,712.15,936.63,1436.07,1678.97
116,1103.25,716.13,936.38,1426.76,1669.3
116.5,1093.39,743.1,940.09,1412.08,1632.4
117,1077.79,754.6,940.92,1395.19,1623.4
117.5,1155.01,758.89,941.33,1380.28,1611.81
118,1132.44,751.75,934.44,1365.76,1583.56
118.5,1109.51,751.66,927.02,1349.91,1572.79
119,1085.07,747.02,919.33,1327.82,1530.5
119.5,1065.49,759.66,909.91,1291.28,1473.73
120,1035.66,762.36,903.05,1252.21,1425.7
120.5,1016.73,756.22,890.6,1222.14,1371.2
121,1004.47,742.5,869.84,1198.49,1354.28
121.5,990.7,725.31,854.82,1186.75,1338.19
122,983.18,705.71,832.46,1172.31,1324.39
122.5,968.78,695.68,818.28,1150.81,1311.48
123,987.36,673.46,797.26,1137.47,1297.03
123.5,931.03,650.68,773.94,1130.03,1298.42
124,878.83,609.74,736.59,1124.3,1310.94
124.5,861.74,568.28,709.29,1121.28,1335.44
125,856.72,538.96,695.92,1115.2,1324.17
125.5,867.26,526.41,683.6,1106.63,1325.9
126,899.52,512.68,679.8,1096.83,1324.28
126.5,935.43,487.92,677.57,1094.93,1347.6
127,925.84,489.83,670.17,1107.08,1353.44
127.5,856.06,467.7,660.88,1115.15,1368.53
128,848.35,480.12,656.77,1124.32,1380.09
128.5,836.78,485.99,661.02,1133.22,1373.77
129,846.83,491.07,670.62,1137.68,1372.52
129.5,913.11,519.51,687.44,1148.31,1371.83
130,935.09,521.18,697.98,1158.43,1380.66
130.5,950.58,516.37,705.63,1177.76,1396.33
131,906.95,495.44,707.6,1188.38,1425.3
131.5,879.94,493.94,712.98,1204.35,1443.45
132,886.48,501.6,724.11,1219.24,1475.08
132.5,892.13,505.1,733.1,1237.06,1503.03
133,909.1,505.15,736.65,1263.63,1561.87
133.5,925.75,511.66,733.84,1271.96,1600.78
134,949.64,520.88,723.61,1295.63,1647.52
134.5,972.22,511.27,709.42,1318.45,1693.79
135,983.04,510.15,715.27,1318.52,1714.28
135.5,993.36,528.45,720.02,1308.18,1726.94
136,1003.59,524.26,735.37,1293.88,1756.3
136.5,1024.47,531.46,732.55,1296.57,1733.08
137,1011.73,527.23,746.08,1277.64,1722.23
137.5,1014.2,522.94,745.04,1269.18,1710.12
138,1007.19,522.36,743.7,1260.91,1673.67
138.5,991.33,535.15,742.07,1231.24,1613.97
139,947.7,549.58,741.71,1189.7,1519.2
139.5,919.17,565.38,736.99,1151.4,1402.67
140,906.23,560.73,723.56,1110.68,1313.56
140.5,890.4,562.92,704.89,1079.46,1249.5
141,848.21,539.63,689.87,1044.98,1214.76
141.5,841.34,529.02,679.71,1026.05,1193.05
142,831.85,522.4,660.91,997.52,1161.22
142.5,831.68,508.55,632.93,976.98,1147.62
143,738.7,491.11,611.23,965.76,1133.15
143.5,725.03,469.98,584.86,954.14,1131.08
144,664.43,439.58,557.2,948.96,1120.83
144.5,651.1,422.71,538.81,939.87,1107.48
145,713.01,414.46,530.95,933.75,1110.6
145.5,742.41,397.08,520.79,926.54,1119.83
146,766.99,381.21,512.66,932.96,1136.45
146.5,754.86,361.19,508.73,946.89,1182.33
147,746,340.77,499.84,954.48,1214.79
147.5,737.93,328.65,502.4,960.82,1233.47
148,725.33,325.22,508.49,973.43,1245.62
148.5,717.12,346.18,517.76,993.5,1265.68
149,738.03,376,540.46,1009.46,1272.91
149.5,717.24,398.71,560.99,1026.95,1306.3
150,703.38,386.68,563.9,1057.26,1380.45
150.5,824.47,391.32,574.39,1085.88,1414.02
151,834.46,382.23,579.57,1092.92,1432.28
151.5,799.6,386.41,583.77,1117.17,1442.11
152,812.24,393.19,575.78,1152.23,1458.75
152.5,809.92,358.72,565.85,1195.92,1506.7
153,815.46,327.25,568.31,1229.64,1553.08
153.5,827.93,297.85,559.63,1268.55,1618.23
154,813.72,294.23,558.68,1295.37,1622.33
154.5,807.17,277.83,551.52,1308.73,1657.82
155,794.32,250.69,544.96,1310,1673.13
155.5,756.06,192.32,519.77,1296.03,1706.9
156,722.07,156.01,498.12,1284.12,1720.85
156.5,897.28,141.7,485.82,1275.95,1738.05
157,858.14,149.05,478.83,1260.69,1751.24
157.5,835.77,157.08,479.45,1245.99,1745.76
158,822.84,165.15,480.52,1234.76,1722.43
158.5,814.67,201.16,486.79,1202.27,1674.66
159,797.35,223.29,494.44,1169.64,1615.62
159.5,796.5,230.65,506.74,1132.27,1577.01
160,795.33,257.92,519.98,1113.88,1536.16
160.5,782.89,280.14,519.73,1110.67,1526.31
161,785.35,327.06,537.82,1103.64,1484.46
161.5,793.06,355.2,554.28,1105.92,1451.69
162,775.16,407.97,579.3,1111.05,1421.61
162.5,785.09,445.94,620.04,1121.36,1379.77
163,771.41,484.03,653.74,1128.87,1347.41
163.5,881.36,519.58,675.86,1135.23,1361.4
164,855.45,529.68,690.36,1142.74,1384.46
164.5,861.99,555.04,715.38,1156.32,1392.36
165,871.25,579.04,740.99,1156.63,1389.35
165.5,877.2,614.58,773.17,1161.22,1388.32
166,895.9,658.85,803.71,1166.72,1375.63
166.5,929.99,692.5,821.57,1175.09,1355.02
167,974.75,709.88,844.15,1186.9,1341.55
167.5,1004.32,717.87,856.27,1192.46,1344.47
168,1011.74,735.25,874.77,1194.43,1337.68
168.5,1029.62,748.08,887.37,1194.37,1323.74
169,1045.27,759.74,902.17,1190.17,1329.48
169.5,1041.41,761.08,903.91,1189.21,1323.07
170,1037.52,736.21,902.76,1198.95,1350.18
170.5,1029.03,739.56,895.22,1219.84,1384.06
171,1071.4,734.43,895.51,1231.69,1413.76
171.5,1064.67,720.61,887.68,1244.03,1451.62
172,1048.07,696.83,873.61,1260.53,1508.77
172.5,1043.98,650.99,854.28,1289.16,1569.38
173,1040.97,615.01,828.13,1312.55,1637.33
173.5,1027.7,582.27,808.45,1329.39,1718.12
174,1022.63,569.6,792.87,1345.36,1783.87
174.5,1018.11,550.83,787.99,1356.31,1826.13
175,1015.82,545.45,772.69,1360.79,1848.39
175.5,1012.49,530.82,764.25,1364.9,1844.1
176,1020.94,518.84,754.68,1366.69,1833.68
176.5,1015.73,506.27,747.76,1382.8,1856.58
177,1008.42,498.32,736.92,1374.7,1892.12
177.5,999.39,501.16,727.16,1357.36,1865.44
178,998.07,512.85,728.63,1341.62,1849.54
178.5,983.26,530.1,738.4,1315.96,1802.39
179,971.06,542.21,747.3,1299.84,1749.05
179.5,941.81,529.93,742.09,1285.47,1713.55
180,909.5,542.59,739.29,1265.09,1748
180.5,908.94,538.52,736.38,1256.04,1699.73
181,912.62,547.16,735.26,1241.65,1639.33
181.5,926.38,553.23,739.98,1229.5,1591.2
182,920.92,548.02,741.05,1210.24,1534.79
182.5,921.06,558.48,735.01,1185.36,1479.22
183,895.84,550.33,722.98,1186.92,1448.96
183.5,896.31,548.66,721.68,1185.25,1478.03
184,923.15,568.28,728.53,1190.58,1470.77
184.5,859.47,593.27,737.67,1184.5,1499.77
185,956.9,607.54,749.64,1204.91,1540.25
185.5,965.18,578.77,754.39,1242.25,1579.13
186,945.03,567.27,751.88,1289.32,1664.52
186.5,950.25,542.96,743.58,1347.14,1793.6
187,947.85,530.43,754.77,1393.99,1884.93
187.5,952.48,534.89,771.21,1431.42,1987.17
188,972.15,551.79,796.78,1490.24,2117.42
188.5,985.24,576.1,818.1,1589.76,2225.47
189,1005.13,555.42,838.01,1688.92,2356.76
189.5,1074.93,561.75,844.56,1797.66,2513.56
190,1111.68,577.3,871.67,1884.77,2628.38
190.5,1156.62,624.87,908.11,1957.46,2759.35
191,1196.72,666.94,954.96,2008.93,2812.96
191.5,1246.89,720.13,1022.31,2060.05,2861.19
192,1345.54,757.63,1073.89,2143.95,2918.25
192.5,1436.28,781.15,1126.85,2233.77,2992.39
193,1466.45,810.43,1172.36,2301.15,3045.34
193.5,1449.82,833.9,1218.24,2355.26,3073.04
194,1740.76,882.85,1254.2,2399.23,3071.17
194.5,1769.77,926.93,1301.27,2402.85,3022.15
195,1796.57,990.88,1340.61,2362.87,2914.2
195.5,1800.11,1050.78,1369.51,2368.15,2849.58
196,1783.74,1068.4,1387.9,2345.15,2767.18
196.5,1772.47,1104.17,1411.47,2331.56,2734.43
