yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
762100,212.78,289.92,340.555,,
762000,212.7,289.93,340.554,,
761900,212.63,289.94,340.553,,
761800,212.58,289.95,340.55,,
761700,212.54,289.95,340.548,,
761600,212.49,289.96,340.545,,
761500,212.44,289.97,340.543,,
761400,212.4,289.98,340.54,,
761300,212.35,289.99,340.538,,
761200,212.3,289.99,340.535,,
761100,212.26,290,340.533,,
761000,212.21,290.01,340.53,,
760900,212.16,290.02,340.528,,
760800,212.15,290.03,340.526,,
760700,212.13,290.04,340.525,,
760600,212.12,290.05,340.524,,
760500,212.1,290.06,340.522,,
760400,212.08,290.07,340.521,,
760300,212.07,290.08,340.519,,
760200,212.05,290.09,340.518,,
760100,212.03,290.1,340.516,,
760000,212.02,290.11,340.515,,
759900,212,290.12,340.514,,
759800,212.03,290.13,340.51,,
759700,212.05,290.14,340.507,,
759600,212.08,290.16,340.504,,
759500,212.1,290.17,340.5,,
759400,212.12,290.18,340.497,,
759300,212.15,290.19,340.494,,
759200,212.17,290.2,340.49,,
759100,212.2,290.21,340.487,,
759000,212.22,290.22,340.484,,
758900,212.24,290.24,340.481,,
758800,212.3,290.25,340.48,,
758700,212.35,290.26,340.48,,
758600,212.4,290.28,340.479,,
758500,212.45,290.29,340.479,,
758400,212.51,290.31,340.479,,
758300,212.56,290.32,340.478,,
758200,212.61,290.33,340.478,,
758100,212.66,290.35,340.478,,
758000,212.72,290.36,340.477,,
757900,212.77,290.38,340.477,,
757800,212.86,290.39,340.477,,
757700,212.95,290.41,340.477,,
757600,213.05,290.43,340.477,,
757500,213.14,290.44,340.477,,
757400,213.23,290.46,340.477,,
757300,213.33,290.48,340.477,,
757200,213.42,290.5,340.477,,
757100,213.51,290.51,340.477,,
757000,213.6,290.53,340.477,,
756900,213.7,290.55,340.477,,
756800,213.8,290.56,340.474,,
756700,213.9,290.58,340.471,,
756600,214.01,290.59,340.468,,
756500,214.11,290.6,340.465,,
756400,214.21,290.62,340.462,,
756300,214.31,290.63,340.459,,
756200,214.42,290.65,340.456,,
756100,214.52,290.66,340.453,,
756000,214.62,290.68,340.45,,
755900,214.73,290.69,340.447,,
755800,214.83,290.71,340.445,,
755700,214.94,290.73,340.444,,
755600,215.04,290.74,340.443,,
755500,215.15,290.76,340.441,,
755400,215.25,290.78,340.44,,
755300,215.36,290.79,340.438,,
755200,215.46,290.81,340.437,,
755100,215.57,290.83,340.435,,
755000,215.67,290.85,340.434,,
754900,215.78,290.86,340.432,,
754800,215.87,290.88,340.434,,
754700,215.97,290.9,340.435,,
754600,216.07,290.92,340.436,,
754500,216.16,290.94,340.438,,
754400,216.26,290.96,340.439,,
754300,216.36,290.98,340.44,,
754200,216.45,291,340.441,,
754100,216.55,291.02,340.443,,
754000,216.65,291.04,340.444,,
753900,216.74,291.06,340.445,,
753800,216.83,291.08,340.446,,
